Sample_ID,Extraction_date,DNA_conc_ng_uL,DNA_vol_uL,DNA_yield_ng,RNA_conc_ng_uL,RNA_vol_uL,RNA_yield_ng
152,12/1/20,87,48,4176,151,48,7248
153,12/1/20,98.5,48,4728,160,48,7680
154,12/1/20,67.2,48,3225.6,161,48,7728
155,12/1/20,82.1,48,3940.8,200,48,9600
156,12/1/20,76,48,3648,165,48,7920
157,12/2/20,19,48,912,91,48,4368
158,12/2/20,18.7,48,897.6,123,48,5904
159,12/2/20,25.9,48,1243.2,46.8,48,2246.4
160,12/2/20,58.4,48,2803.2,142,48,6816
161,12/2/20,60.3,48,2894.4,82.7,48,3969.6
162,12/2/20,88.5,48,4248,146,48,7008
163,12/2/20,75.6,48,3628.8,136,48,6528
164,12/2/20,63.4,48,3043.2,98.3,48,4718.4
165,12/2/20,30.6,48,1468.8,180,48,8640
166,12/2/20,95.8,48,4598.4,98.2,48,4713.6
167,12/2/20,73.9,48,3547.2,41.8,48,2006.4
168,12/2/20,50,48,2400,50.5,48,2424
D1_FSW_1,12/2/20,,48,,,,
D1_FSW_2,12/2/20,,48,,,,
D1_FSW_3,12/2/20,,48,,,,
D1_seawater_1,12/2/20,,48,,,,
D1_seawater_2,12/2/20,,48,,,,
D1_seawater_3,12/2/20,,48,,,,
D7_FSW_1,12/2/20,,48,,,,
D7_FSW_2,12/2/20,,48,,,,
D7_FSW_3,12/2/20,,48,,,,
D7_seawater_1,12/2/20,,48,,,,
D7_seawater_2,12/2/20,,48,,,,
D7_seawater_3,12/2/20,,48,,,,
ZYMO_1,12/2/20,47.7,48,2289.6,,,
ZYMO_2,12/2/20,56.4,48,2707.2,,,
ZYMO_3,12/2/20,48,48,2304,,,
Negative_1,12/2/20,,48,,,,
Negative_2,12/2/20,,48,,,,
Negative_3,12/2/20,,48,,,,
